Model,Model Name,RMSE,MAE,R2
LinearRegression(),Linear Regression,0.738724087315915,0.702299031429001,-1.1828531087229264
Ridge(),Ridge Regression,0.7347268142844698,0.6986845939660209,-1.1592939665144235
Ridge(alpha=0.3),Ridge Regression (alpha = 0.3),0.7375227660919297,0.7012128084513822,-1.1757593220155647
