Model,RMSE,MAE,R2
Linear Regression,0.738724087315915,0.702299031429001,-1.1828531087229264
Ridge Regression,0.7347268142844698,0.6986845939660209,-1.1592939665144235
Random Forest,0.5663920903402517,0.41999999999999993,-0.28319999999999945
